0;;;;;;;;;;;;
2;0.0444336;-0.320313;0.0478516;0.945059;0;-0.015625;0.0078125;0.0585938;0.984375;-0.109375;0.0546875;-0.5;0.171875
3;-0.050293;-0.342773;-0.0966797;0.933076;0.00390625;-0.00390625;0.00390625;-0.140625;0.960938;0.15625;0.167969;-0.433594;0.0546875
4;-0.13916;-0.118652;0.291992;0.938774;-0.0078125;-0.0117188;0.0234375;0.5625;0.765625;0.183594;-0.316406;-0.804688;0.523438
5;0.838674;0.0844727;-0.535156;-0.0556641;-0.0390625;-0.0195313;0.00390625;0.203125;-0.996094;0;-0.230469;0.402344;-0.078125
0.281;;;;;;;;;;;;
1;0.209961;0.595215;0.144043;0.76216;0;-0.00390625;0.0078125;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0444336;-0.320313;0.0483398;0.945034;0.00390625;-0.0078125;0.0078125;0.0585938;0.984375;-0.109375;0.0546875;-0.5;0.171875
3;-0.050293;-0.342773;-0.0966797;0.933076;0.00390625;-0.00390625;0.0078125;-0.140625;0.960938;0.15625;0.167969;-0.433594;0.0546875
4;-0.13916;-0.118652;0.291992;0.938774;-0.00390625;-0.0117188;0.03125;0.5625;0.765625;0.183594;-0.316406;-0.804688;0.523438
5;0.838674;0.0844727;-0.535156;-0.0556641;-0.0429688;-0.0195313;0.015625;0.203125;-0.996094;0;-0.230469;0.402344;-0.078125
0.291;;;;;;;;;;;;
1;0.208984;0.595703;0.14502;0.761861;0.00390625;0;0.00390625;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0444336;-0.320313;0.0454102;0.945179;0.00390625;-0.015625;0.0078125;0.0585938;0.984375;-0.109375;0.0546875;-0.5;0.171875
3;-0.050293;-0.342773;-0.0966797;0.933076;0.0078125;0;0.0117188;-0.140625;0.960938;0.15625;0.167969;-0.433594;0.0546875
4;-0.13916;-0.118652;0.291992;0.938774;0;-0.0117188;0.03125;0.5625;0.765625;0.183594;-0.316406;-0.804688;0.523438
5;0.838706;0.0844727;-0.535156;-0.0551758;-0.0351563;-0.0273438;0.0195313;0.203125;-0.996094;0;-0.230469;0.402344;-0.078125
0.303;;;;;;;;;;;;
1;0.208984;0.595703;0.145508;0.761768;0.00390625;-0.00390625;0.0078125;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0439453;-0.320313;0.0454102;0.945202;0;-0.0117188;0.00390625;0.0585938;0.984375;-0.109375;0.0546875;-0.5;0.171875
3;-0.050293;-0.342773;-0.0966797;0.933076;0.00390625;-0.00390625;0.0078125;-0.140625;0.960938;0.15625;0.167969;-0.433594;0.0546875
4;-0.13916;-0.118652;0.291992;0.938774;-0.00390625;-0.0078125;0.0273438;0.5625;0.765625;0.183594;-0.316406;-0.804688;0.523438
5;0.838755;0.0839844;-0.535156;-0.0551758;-0.0390625;-0.03125;0.0117188;0.203125;-0.996094;0;-0.230469;0.402344;-0.078125
0.335;;;;;;;;;;;;
1;0.208984;0.595215;0.145508;0.76215;0.00390625;0;0.0078125;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
