0;;;;;;;;;;;;
3;0.387207;0.451172;-0.558594;0.578349;0.0429688;-0.0234375;0.191406;-0.300781;0.0859375;-0.960938;-0.0390625;-0.0429688;0.496094
4;0.21582;0.676861;-0.579102;0.399902;0.101563;-0.117188;0.21875;-0.164063;0.308594;-0.964844;-0.113281;-0.4375;0.925781
5;0.722019;0.35791;-0.540527;-0.241699;-0.140625;0.210938;0.03125;0.785156;-0.636719;-0.0664063;-0.457031;0.167969;-0.03125
0.366;;;;;;;;;;;;
1;0.335938;0.787678;-0.409668;0.314453;-0.0390625;0.113281;0.164063;0.257813;0.421875;-0.835938;-0.296875;-0.304688;0.3125
2;0.676297;0.29834;-0.272949;0.615723;0.0117188;0.171875;-0.144531;0.0703125;-0.0507813;-0.972656;-0.152344;0.144531;0.4375
3;0.38623;0.451172;-0.556152;0.581347;0.0195313;-0.0664063;0.203125;-0.304688;0.117188;-0.960938;-0.0429688;-0.0429688;0.492188
4;0.216309;0.677217;-0.577148;0.401855;0.0859375;-0.175781;0.292969;-0.136719;0.355469;-0.964844;-0.117188;-0.441406;0.925781
5;0.72247;0.359375;-0.540039;-0.239258;-0.257813;0.25;0.09375;0.785156;-0.644531;-0.140625;-0.460938;0.164063;-0.0351563
0.378;;;;;;;;;;;;
1;0.336426;0.787275;-0.409668;0.314941;-0.0273438;0.136719;0.199219;0.261719;0.421875;-0.835938;-0.296875;-0.304688;0.3125
2;0.67625;0.300781;-0.271484;0.615234;0.0507813;0.195313;-0.109375;0.0820313;-0.0507813;-0.980469;-0.152344;0.144531;0.4375
3;0.384766;0.451172;-0.554199;0.584177;-0.0234375;-0.09375;0.214844;-0.308594;0.144531;-0.972656;-0.0429688;-0.0390625;0.492188
4;0.217285;0.677818;-0.574707;0.403809;0.03125;-0.191406;0.320313;-0.0976563;0.390625;-0.988281;-0.109375;-0.449219;0.921875
5;0.723228;0.36084;-0.539551;-0.23584;-0.328125;0.242188;0.140625;0.808594;-0.640625;-0.230469;-0.460938;0.160156;-0.0351563
0.391;;;;;;;;;;;;
1;0.336914;0.787066;-0.409668;0.314941;0;0.117188;0.179688;0.261719;0.421875;-0.835938;-0.296875;-0.304688;0.3125
2;0.676778;0.304199;-0.268555;0.614258;0.0820313;0.21875;-0.0859375;0.113281;-0.046875;-1.00781;-0.152344;0.144531;0.4375
3;0.383301;0.45166;-0.551758;0.587066;-0.0859375;-0.0976563;0.214844;-0.3125;0.183594;-0.988281;-0.0390625;-0.0390625;0.492188
4;0.218262;0.679107;-0.571777;0.405273;-0.015625;-0.175781;0.308594;-0.046875;0.402344;-1;-0.109375;-0.433594;0.925781
5;0.723514;0.362793;-0.539551;-0.231934;-0.316406;0.203125;0.171875;0.816406;-0.628906;-0.277344;-0.457031;0.167969;-0.0390625
0.403;;;;;;;;;;;;
1;0.336914;0.78687;-0.409668;0.31543;-0.0195313;0.0625;0.117188;0.261719;0.425781;-0.835938;-0.296875;-0.304688;0.3125
2;0.677717;0.307617;-0.265625;0.612793;0.0664063;0.253906;-0.078125;0.128906;-0.0429688;-1.02344;-0.15625;0.144531;0.4375
3;0.381348;0.453613;-0.547363;0.590934;-0.160156;-0.0820313;0.121094;-0.289063;0.21875;-1.00781;-0.0390625;-0.0390625;0.492188
4;0.221191;0.680674;-0.567383;0.407227;-0.0546875;-0.128906;0.191406;0;0.414063;-1.01172;-0.109375;-0.441406;0.925781
5;0.723984;0.364746;-0.539063;-0.228516;-0.210938;0.09375;0.167969;0.820313;-0.617188;-0.320313;-0.457031;0.167969;-0.0390625
0.414;;;;;;;;;;;;
1;0.336426;0.786884;-0.409668;0.315918;-0.0351563;-0.0195313;0.046875;0.261719;0.425781;-0.839844;-0.296875;-0.304688;0.3125
2;0.678215;0.310547;-0.263184;0.611816;0.00390625;0.257813;-0.0742188;0.140625;-0.0390625;-1.03516;-0.15625;0.144531;0.433594
3;0.379883;0.456055;-0.544434;0.592702;-0.257813;-0.0585938;-0.0390625;-0.273438;0.238281;-1.01172;-0.0390625;-0.0429688;0.496094
4;0.222168;0.682676;-0.564941;0.406738;-0.101563;-0.0351563;-0.015625;0.015625;0.410156;-1.01563;-0.109375;-0.4375;0.925781
5;0.72334;0.366699;-0.540039;-0.225098;-0.0351563;-0.0585938;0.105469;0.820313;-0.609375;-0.355469;-0.457031;0.164063;-0.0390625
0.424;;;;;;;;;;;;
1;0.335938;0.786896;-0.409668;0.316406;-0.0273438;-0.0429688;0.0195313;0.261719;0.425781;-0.839844;-0.296875;-0.304688;0.3125
2;0.67781;0.313477;-0.260742;0.611816;-0.0859375;0.25;-0.105469;0.136719;-0.0351563;-1.03906;-0.15625;0.144531;0.433594
3;0.37793;0.458496;-0.541992;0.594302;-0.332031;-0.046875;-0.164063;-0.285156;0.269531;-1.02344;-0.0390625;-0.0429688;0.492188
4;0.223145;0.684951;-0.5625;0.405762;-0.160156;0.0546875;-0.179688;0.0117188;0.429688;-1.02734;-0.109375;-0.441406;0.925781
5;0.722157;0.368652;-0.541504;-0.222168;0.136719;-0.269531;0.0273438;0.8125;-0.609375;-0.367188;-0.457031;0.171875;-0.0390625
0.439;;;;;;;;;;;;
1;0.335449;0.787104;-0.409668;0.316406;-0.0742188;-0.0507813;-0.0742188;0.261719;0.425781;-0.839844;-0.296875;-0.304688;0.3125
2;0.677425;0.315918;-0.258789;0.611816;-0.125;0.273438;-0.195313;0.132813;-0.0351563;-1.03906;-0.160156;0.144531;0.433594
3;0.374512;0.461914;-0.539551;0.596038;-0.394531;-0.0546875;-0.277344;-0.300781;0.28125;-1.04297;-0.0351563;-0.0429688;0.492188
4;0.222656;0.688367;-0.55957;0.404297;-0.230469;0.132813;-0.324219;0.00390625;0.472656;-1.04297;-0.109375;-0.441406;0.925781
5;0.718751;0.371582;-0.54541;-0.21875;0.214844;-0.453125;-0.015625;0.84375;-0.644531;-0.394531;-0.453125;0.167969;-0.0390625
0.449;;;;;;;;;;;;
1;0.335449;0.787358;-0.40918;0.316406;-0.0859375;-0.0507813;-0.113281;0.265625;0.425781;-0.839844;-0.296875;-0.304688;0.3125
2;0.67661;0.318848;-0.257324;0.611816;-0.128906;0.335938;-0.21875;0.132813;-0.0351563;-1.03906;-0.160156;0.144531;0.433594
3;0.371094;0.465332;-0.537598;0.597281;-0.484375;-0.0585938;-0.398438;-0.304688;0.300781;-1.04297;-0.0351563;-0.0390625;0.492188
4;0.222168;0.692035;-0.556641;0.402344;-0.363281;0.195313;-0.464844;0;0.511719;-1.03906;-0.113281;-0.441406;0.925781
5;0.715602;0.373047;-0.549316;-0.216797;0.292969;-0.546875;0.0117188;0.855469;-0.660156;-0.410156;-0.457031;0.167969;-0.0351563
0.46;;;;;;;;;;;;
1;0.334961;0.787958;-0.40918;0.31543;-0.0898438;-0.0429688;-0.113281;0.265625;0.429688;-0.839844;-0.296875;-0.304688;0.3125
2;0.676452;0.321289;-0.255859;0.611328;-0.15625;0.40625;-0.238281;0.152344;-0.03125;-1.04297;-0.164063;0.144531;0.433594
3;0.366211;0.46875;-0.535645;0.599373;-0.609375;-0.078125;-0.511719;-0.355469;0.347656;-1.01953;-0.0351563;-0.0429688;0.488281
4;0.220703;0.696256;-0.553711;0.399902;-0.425781;0.230469;-0.515625;-0.0078125;0.539063;-1.03125;-0.109375;-0.449219;0.925781
5;0.712813;0.374023;-0.553223;-0.214355;0.308594;-0.644531;0.0390625;0.835938;-0.660156;-0.417969;-0.453125;0.175781;-0.03125
0.473;;;;;;;;;;;;
1;0.334961;0.788153;-0.40918;0.314941;-0.09375;-0.0585938;-0.109375;0.265625;0.429688;-0.839844;-0.296875;-0.304688;0.3125
2;0.675997;0.324707;-0.253906;0.61084;-0.195313;0.457031;-0.335938;0.203125;-0.0273438;-1.04688;-0.167969;0.144531;0.433594
3;0.36084;0.472168;-0.53418;0.601252;-0.679688;-0.101563;-0.476563;-0.398438;0.363281;-1.01172;-0.0351563;-0.0390625;0.488281
4;0.219238;0.700535;-0.550293;0.397949;-0.503906;0.261719;-0.503906;-0.03125;0.566406;-1.02734;-0.109375;-0.449219;0.921875
5;0.709486;0.375488;-0.557617;-0.211426;0.265625;-0.75;0.0390625;0.84375;-0.65625;-0.433594;-0.453125;0.175781;-0.0273438
0.486;;;;;;;;;;;;
1;0.334961;0.787899;-0.409668;0.314941;-0.078125;-0.0898438;-0.128906;0.265625;0.429688;-0.839844;-0.296875;-0.304688;0.3125
2;0.675812;0.330078;-0.250977;0.609375;-0.296875;0.515625;-0.523438;0.238281;-0.0273438;-1.04297;-0.171875;0.144531;0.433594
3;0.35498;0.475098;-0.532715;0.603727;-0.738281;-0.121094;-0.382813;-0.429688;0.375;-1.00391;-0.0351563;-0.0585938;0.488281
4;0.217285;0.705291;-0.546387;0.395996;-0.566406;0.296875;-0.417969;-0.0585938;0.582031;-1.02344;-0.117188;-0.453125;0.921875
5;0.70584;0.377441;-0.562012;-0.208496;0.152344;-0.796875;0.015625;0.839844;-0.652344;-0.429688;-0.457031;0.179688;-0.0234375
0.497;;;;;;;;;;;;
1;0.334961;0.788094;-0.409668;0.314453;-0.0625;-0.132813;-0.140625;0.265625;0.429688;-0.84375;-0.296875;-0.304688;0.3125
2;0.673973;0.339355;-0.24707;0.60791;-0.394531;0.574219;-0.667969;0.25;-0.00390625;-1.04688;-0.175781;0.132813;0.433594
3;0.348633;0.478027;-0.53125;0.606398;-0.777344;-0.140625;-0.238281;-0.460938;0.390625;-1;-0.0351563;-0.0546875;0.492188
4;0.215332;0.709814;-0.541992;0.39502;-0.644531;0.320313;-0.257813;-0.078125;0.597656;-1.02344;-0.117188;-0.453125;0.921875
5;0.702009;0.379883;-0.566406;-0.205078;-0.0625;-0.816406;-0.00390625;0.847656;-0.652344;-0.421875;-0.457031;0.171875;-0.0195313
0.509;;;;;;;;;;;;
1;0.334961;0.788035;-0.410156;0.313965;-0.046875;-0.171875;-0.167969;0.265625;0.429688;-0.84375;-0.296875;-0.304688;0.3125
2;0.671939;0.347168;-0.244141;0.606934;-0.476563;0.65625;-0.738281;0.238281;0.0078125;-1.05859;-0.179688;0.128906;0.433594
3;0.339844;0.480957;-0.527832;0.612029;-0.84375;-0.175781;-0.0585938;-0.472656;0.40625;-1.01172;-0.0351563;-0.0664063;0.492188
4;0.213867;0.716689;-0.53418;0.394043;-0.707031;0.34375;-0.0546875;-0.0859375;0.613281;-1.03516;-0.121094;-0.457031;0.921875
5;0.698774;0.382813;-0.569824;-0.201172;-0.28125;-0.796875;-0.0195313;0.859375;-0.664063;-0.417969;-0.460938;0.171875;-0.015625
0.521;;;;;;;;;;;;
